BBL.ID,Proj,Year,Month,Day,Hour,Minute,id,Species,Location,Age
1311-53431,Holbt,2013,8,14,13,51,62,SESA,MILL RIVER,HY
1311-53432,Holbt,2013,8,14,13,51,60,SESA,MILL RIVER,AHY
1311-53434,Holbt,2013,8,15,17,20,67,SESA,DRY LEDGE,AHY
1311-53435,Holbt,2013,8,15,17,20,64,SESA,DRY LEDGE,AHY
1311-53436,Holbt,2013,8,15,17,20,65,SESA,DRY LEDGE,HY
1311-53437,Holbt,2013,8,15,17,20,66,SESA,DRY LEDGE,HY
1311-53438,Holbt,2013,8,15,17,20,69,SESA,DRY LEDGE,AHY
1311-53439,Holbt,2013,8,15,17,20,72,SESA,DRY LEDGE,HY
1311-53447,Holbt,2013,8,16,15,26,59,SEPL,MILL RIVER,AHY
1311-53449,Holbt,2013,8,16,16,1,58,LESA,MILL RIVER,HY
1311-53450,Holbt,2013,8,16,16,5,70,SESA,MILL RIVER,HY
1311-53452,Holbt,2013,8,16,16,5,75,SESA,MILL RIVER,HY
1311-53453,Holbt,2013,8,16,16,5,73,SESA,MILL RIVER,HY
1311-53454,Holbt,2013,8,20,9,25,79,SESA,RASPBERRY I LEDGE,HY
1311-53455,Holbt,2013,8,20,9,25,74,SESA,RASPBERRY I LEDGE,AHY
1311-53456,Holbt,2013,8,20,9,25,80,SESA,RASPBERRY I LEDGE,AHY
1311-53457,Holbt,2013,8,20,9,25,81,SESA,RASPBERRY I LEDGE,HY
1311-53458,Holbt,2013,8,20,9,25,82,SESA,RASPBERRY I LEDGE,AHY
1311-53459,Holbt,2013,8,20,9,25,78,SESA,RASPBERRY I LEDGE,HY
1311-53460,Holbt,2013,8,20,9,25,7,SESA,RASPBERRY I LEDGE,AHY
1311-53461,Holbt,2013,8,20,9,25,8,SESA,RASPBERRY I LEDGE,HY
1311-53463,Holbt,2013,8,20,9,25,5,SESA,NARROWS I LEDGE,AHY
1311-53464,Holbt,2013,8,20,9,25,6,SESA,NARROWS I LEDGE,AHY
1311-53465,Holbt,2013,8,20,9,25,9,SESA,NARROWS I LEDGE,AHY
1311-53466,Holbt,2013,8,20,9,25,13,SESA,NARROWS I LEDGE,AHY
1311-53467,Holbt,2013,8,20,9,25,12,SESA,NARROWS I LEDGE,AHY
1311-53468,Holbt,2013,8,20,9,25,11,SESA,NARROWS I LEDGE,HY
1311-53469,Holbt,2013,8,20,9,25,77,SESA,NARROWS I LEDGE,HY
1311-53471,Holbt,2013,8,20,9,25,63,SESA,NARROWS I LEDGE,HY
1311-53472,Holbt,2013,8,20,9,25,14,SESA,NARROWS I LEDGE,HY
1311-53473,Holbt,2013,8,20,9,25,76,SESA,NARROWS I LEDGE,HY
1311-53477,Holbt,2013,8,20,9,25,10,SESA,NARROWS I LEDGE,HY
2571-56201,Holbt,2014,8,5,18,30,10,SESA,LEDGE,AHY
2571-56203,Holbt,2014,8,5,18,40,8,SESA,LEDGE,AHY
2571-56202,Holbt,2014,8,5,18,35,7,SESA,LEDGE,AHY
2571-56204,Holbt,2014,8,5,18,46,11,SESA,LEDGE,AHY
2571-56205,Holbt,2014,8,5,19,3,31,SESA,LEDGE,AHY
2571-56206,Holbt,2014,8,5,19,2,9,SESA,LEDGE,AHY
2571-56207,Holbt,2014,8,5,19,8,30,SESA,LEDGE,AHY
2571-56211,Holbt,2014,8,8,9,4,175,SESA,DRY LEDGE,AHY
2571-56212,Holbt,2014,8,8,9,0,176,SESA,DRY LEDGE,AHY
2571-56214,Holbt,2014,8,8,9,8,409,SESA,DRY LEDGE,AHY
2571-56217,Holbt,2014,8,8,10,46,177,SESA,RASPBERRY LEDGE,AHY
2571-56215,Holbt,2014,8,8,10,36,179,SESA,RASPBERRY LEDGE,AHY
2571-56219,Holbt,2014,8,8,11,3,178,SESA,RASPBERRY LEDGE,AHY
2571-56220,Holbt,2014,8,8,11,8,180,SESA,RASPBERRY LEDGE,AHY
2571-56221,Holbt,2014,8,8,11,17,412,SESA,RASPBERRY LEDGE,AHY
2571-56224,Holbt,2014,8,18,11,0,414,SESA,LOWER WASS COVE,HY
2571-56225,Holbt,2014,8,18,11,7,189,SESA,LOWER WASS COVE,HY
2571-56226,Holbt,2014,8,18,11,11,411,SESA,LOWER WASS COVE,HY
2571-56227,Holbt,2014,8,19,9,46,188,SESA,LOWER WASS COVE,HY
2571-56228,Holbt,2014,8,19,9,55,190,SESA,LOWER WASS COVE,HY
2571-56229,Holbt,2014,8,19,11,37,186,SESA,LOWER WASS COVE,HY
2571-56230,Holbt,2014,8,19,12,35,416,SESA,LOWER WASS COVE,AHY
2571-56231,Holbt,2014,8,19,12,0,407,SESA,LOWER WASS COVE,AHY
2571-56232,Holbt,2014,8,19,11,57,182,SESA,LOWER WASS COVE,HY
2571-56234,Holbt,2014,8,19,12,7,181,SESA,LOWER WASS COVE,HY
2571-56235,Holbt,2014,8,19,12,14,187,SESA,LOWER WASS COVE,HY
2571-56236,Holbt,2014,8,19,12,18,29,SESA,LOWER WASS COVE,HY
2571-56237,Holbt,2014,8,19,12,23,410,SESA,LOWER WASS COVE,HY
2571-56238,Holbt,2014,8,19,12,29,408,SESA,LOWER WASS COVE,HY
2571-56239,Holbt,2014,8,19,12,33,415,SESA,LOWER WASS COVE,AHY
2571-56240,Holbt,2014,8,19,12,37,27,SESA,LOWER WASS COVE,AHY
2571-56243,Holbt,2014,8,19,12,48,413,SESA,LOWER WASS COVE,HY
2571-56244,Holbt,2014,8,19,12,54,28,SESA,LOWER WASS COVE,HY
2571-56250,Holbt,2014,9,10,11,21,192,SESA,NARROWS LEDGE,HY
2571-56251,Holbt,2014,9,10,11,40,195,SESA,NARROWS LEDGE,HY
2571-56252,Holbt,2014,9,10,11,46,196,SESA,NARROWS LEDGE,HY
2571-56255,Holbt,2014,9,10,12,4,194,SESA,NARROWS LEDGE,HY
2571-56256,Holbt,2014,9,10,12,15,193,SESA,NARROWS LEDGE,HY
2571-56258,Holbt,2014,9,10,12,18,185,SESA,NARROWS LEDGE,HY
2571-56260,Holbt,2014,9,10,12,28,191,SESA,NARROWS LEDGE,HY
2571-56261,Holbt,2014,9,10,12,34,183,SESA,NARROWS LEDGE,HY
2461-05358,Pau,2013,8,5,11,55,36,SESA,STAGE,HY
2461-05359,Pau,2013,8,5,12,20,41,SESA,STAGE,HY
2461-05360,Pau,2013,8,5,12,22,NA,SESA,STAGE,HY
2461-05361,Pau,2013,8,5,12,22,55,SESA,STAGE,HY
2461-05362,Pau,2013,8,5,12,50,NA,SESA,STAGE,HY
2461-05363,Pau,2013,8,5,12,55,50,SESA,STAGE,HY
2461-05364,Pau,2013,8,5,13,10,56,SESA,STAGE,AHY
2461-05365,Pau,2013,8,5,13,10,51,SESA,STAGE,HY
2461-05366,Pau,2013,8,5,13,10,NA,SESA,STAGE,AHY
2461-05367,Pau,2013,8,5,13,10,NA,LESA,STAGE,AHY
2461-05368,Pau,2013,8,5,13,10,NA,SESA,STAGE,HY
2461-05369,Pau,2013,8,5,13,10,NA,SESA,STAGE,AHY
2461-05370,Pau,2013,8,5,13,10,NA,SESA,STAGE,AHY
2461-05371,Pau,2013,8,5,13,10,57,SESA,STAGE,HY
2461-05372,Pau,2013,8,5,13,10,NA,SESA,STAGE,HY
2461-05373,Pau,2013,8,5,13,10,37,SESA,STAGE,AHY
2461-05374,Pau,2013,8,5,13,10,NA,SESA,STAGE,NA
2461-05375,Pau,2013,8,5,13,10,28,SESA,STAGE,NA
2461-05376,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05377,Pau,2013,8,6,10,45,49,SESA,STAGE,NA
2461-05378,Pau,2013,8,6,10,45,31,SESA,STAGE,NA
2461-05379,Pau,2013,8,6,10,45,53,SESA,STAGE,NA
2461-05380,Pau,2013,8,6,10,45,40,SESA,STAGE,NA
2461-05381,Pau,2013,8,6,10,45,38,SESA,STAGE,NA
2461-05382,Pau,2013,8,6,10,45,27,SESA,STAGE,NA
2461-05383,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05384,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05385,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05386,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05387,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05388,Pau,2013,8,6,10,45,26,SESA,STAGE,NA
2461-05389,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05390,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05391,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05392,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05399,Pau,2013,8,6,10,45,34,SESA,STAGE,HY
2461-05400,Pau,2013,8,6,10,45,54,SESA,STAGE,NA
2461-05398,Pau,2013,8,6,10,45,29,SESA,STAGE,NA
2461-05393,Pau,2013,8,6,15,10,33,SESA,NELSN,NA
2461-05394,Pau,2013,8,6,15,10,48,SESA,NELSN,NA
2461-05395,Pau,2013,8,6,15,10,42,SESA,NELSN,NA
2461-05396,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2461-05397,Pau,2013,8,6,15,10,39,SESA,NELSN,NA
2441-22581,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22582,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22583,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22584,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22585,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22586,Pau,2013,8,6,15,10,47,SESA,NELSN,NA
2461-14701,Pau,2013,8,30,7,25,NA,SESA,BFB,HY
2461-14702,Pau,2013,8,30,7,25,45,SESA,BFB,NA
2461-14703,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14704,Pau,2013,8,30,7,25,30,SESA,BFB,NA
2461-14705,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14706,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14707,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14708,Pau,2013,8,30,7,25,43,SESA,BFB,NA
2461-14709,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14710,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14711,Pau,2013,8,30,8,0,NA,SESA,BFB,AHY
2461-14712,Pau,2013,8,30,8,0,52,SESA,BFB,NA
2461-14713,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14714,Pau,2013,8,30,8,0,35,SESA,BFB,NA
2461-14715,Pau,2013,8,30,8,0,32,SESA,BFB,NA
2461-14716,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14717,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14718,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14719,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14720,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14721,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14722,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14723,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14724,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14725,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14726,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14727,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14729,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
1151-40301,Pau,2014,8,11,10,10,NA,LESA,BF,HY
1151-40302,Pau,2014,8,11,10,10,NA,SESA,BF,AHY
1151-40303,Pau,2014,8,11,10,24,488,SESA,BF,AHY
1151-40304,Pau,2014,8,11,10,24,482,SESA,BF,AHY
1151-40305,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40306,Pau,2014,8,11,10,30,NA,LESA,BF,HY
1151-40307,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40308,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40309,Pau,2014,8,11,10,30,NA,LESA,BF,HY
1151-40310,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40311,Pau,2014,8,11,10,30,486,SESA,BF,AHY
1151-40312,Pau,2014,8,11,10,45,NA,SESA,BF,AHY
1151-40313,Pau,2014,8,11,10,45,484,SESA,BF,HY
1151-40314,Pau,2014,8,11,10,45,NA,SESA,BF,AHY
1151-40315,Pau,2014,8,11,10,45,NA,SESA,BF,AHY
1151-40316,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40317,Pau,2014,8,11,11,0,485,SESA,BF,AHY
1151-40318,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40319,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40320,Pau,2014,8,11,11,0,483,SESA,BF,AHY
1151-40321,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40322,Pau,2014,8,11,11,30,NA,SESA,BF,AHY
1151-40323,Pau,2014,8,11,11,36,NA,SESA,BF,AHY
1151-40324,Pau,2014,8,11,11,36,NA,SESA,BF,AHY
1151-40325,Pau,2014,8,11,11,36,NA,SESA,BF,AHY
1151-40326,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40327,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40328,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40329,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40330,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40331,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40332,Pau,2014,8,11,11,51,487,SESA,BF,AHY
1151-40333,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40334,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40335,Pau,2014,8,21,9,40,NA,SESA,BF,AHY
1151-40336,Pau,2014,8,21,9,40,473,SESA,BF,AHY
